id;date;description;amount
1;2019-10-14T02:07:32;deposit;70196
2;2019-10-14T11:45:42;Unbranded Fresh Pants Tools California;43847
3;2019-10-14T07:24:21;Garden Dale Wallis and Futuna;28654
4;2019-10-14T01:09:01;TCP Assimilated;3883
5;2019-10-14T01:32:32;back-end;12706
6;2019-10-14T13:26:41;synthesizing composite;96525
7;2019-10-14T06:20:07;Refined Intelligent Granite Shirt;54063
8;2019-10-14T04:29:47;Metal Frozen;96953
9;2019-10-14T08:53:36;alliance redundant global;43897
10;2019-10-14T03:25:39;Ameliorated;18433
